Team,Player,Hero,Player Rating,Accretion Kills,Accretion Stuns,All Damage Done,Assists,Average Time Alive,Barrier Damage Done,Damage - Accretion,Damage - Hyperspheres,Damage - Quick Melee,Damage Absorbed,Damage Blocked,Damage Taken,Deaths,Eliminations,Final Blows,Gravitic Flux Damage Done,Gravitic Flux Kills,Healing Received,Hero Damage Done,Hyperspheres Direct Hits,Objective Kills,Objective Time,Quick Melee Accuracy,Quick Melee Hits,Quick Melee Ticks,Time Alive,Time Building Ultimate,Time Elapsed per Ultimate Earned,Time Hacked,Time Holding Ultimate,Time Played,Ultimates Earned - Fractional,Ultimates Used,Time Discorded,Solo Kills,Melee Final Blows,Environmental Deaths,Environmental Kills,Multikills,Ultimates Negated,Turrets Destroyed,First Death Rate %,First Kill Rate %
SFS,Choihyobin,Sigma,46.54246118,169,317,644224.4121,604,95.64675148,307704.8581,29415.25501,246225.2541,6971.015478,91356.43748,720829.9348,349601.7842,195,833,227,48430.69443,119,218976.2939,331042.219,2933,402,3519.729105,4.814332248,307,1478,19912.1166,18651.11654,119.0024995,7.734000223,2715.306079,21854.10738,156.7287797,122,18.55700054,5,23,7,2,24,3,2,7.75,9.75
PHI,Poko,Sigma,45.52089341,44,77,180927.291,128,116.9230784,103257.5093,7539.712771,59692.9926,1047,11215.18502,187220.734,66368.05343,40,193,65,6456.31871,28,42769.08331,74736.02407,736,79,867.463026,1.469387755,49,72,5632.642171,4676.923136,129.232288,0,1235.230036,6015.987608,36.19005133,27,0,1,0,2,0,6,0,11,6.796116505,10.67961165
GZC,HOTBA,Sigma,45.48740899,64,123,251613.2561,177,99.52997063,111028.8603,12217.91001,99569.59044,2204.347384,21576,202775.3867,101537.1392,62,265,87,21425.1755,40,65064.40643,135417.0233,1108,142,1352.28104,1.630952381,84,137,7039.491213,6170.858179,109.4671502,60.35000175,1291.939038,7648.451811,56.37178064,46,0,4,11,1,1,3,0,24,4.379562044,8.759124088
ATL,Gator,Sigma,45.0178843,95,200,428312.8077,294,80.56872714,193254.5115,20109.81338,165429.3214,5532.806208,67301,418517.7841,213013.6207,149,438,140,40136.63615,91,120465.0281,231208.5772,1758,213,2281.741067,10.04273504,234,2350,12310.96137,12004.74034,115.4383808,0,1432.195041,13791.63433,103.9926259,84,0,5,20,3,4,15,0,5,6.324110672,8.695652174
VAN,JJANU,Sigma,41.05666948,117,183,547047.5946,451,83.21405116,257726.1333,18030.34155,211078.5759,3999.113144,66911.5,538703.6323,268387.9504,164,621,169,52138.55017,95,159544.7908,285246.5808,2397,302,2408.940072,5.397163121,141,761,14660.88144,13647.10439,111.2398893,0,2269.032066,16314.35149,122.6817509,95,0,5,9,3,1,24,0,0,10.25641026,9.294871795
SFS,Nevix,Sigma,40.83507297,5,10,19694.69571,23,135.5592039,9074.075963,1166.453012,7230.309319,60,9084,35500.3403,8147.65759,5,31,8,1450,5,4218.783213,9906.762332,90,15,174.1500052,3.333333333,3,10,845.3210255,677.7960197,144.3257372,0,206.493006,902.3708241,4.696293487,4,0,1,0,0,0,1,0,0,0,6.666666667
HZS,Ria,Sigma,39.65771577,142,258,481812.6313,420,98.24252665,215770.2297,23811.00698,195295.0848,3751.184348,81595.5,497069.0967,269523.2597,147,600,176,39507.87581,93,165248.2986,262365.1519,2186,350,3671.153109,2.659863946,147,391,15280.03646,14441.65142,117.4350515,0,1905.736055,16745.87711,122.9756469,90,0,3,11,4,4,9,1,4,4.761904762,6.12244898
GLA,Void,Sigma,37.51952261,62,133,271424.2094,206,82.78259186,117709.1708,12216.00259,111073.2184,2928.021704,49946.49998,296895.1383,163811.3976,95,302,94,25364.69497,49,98475.61718,151581.9376,1230,156,1709.133051,5.973684211,114,681,8240.792248,7864.346227,116.6186616,0,1091.295032,9165.247253,67.43643012,53,0,1,7,3,2,5,0,1,7.222222222,5
NYE,MekO,Sigma,34.66559093,125,209,471782.4843,438,95.59417582,222540.5713,19292.01325,187196.7673,2307.37863,77790.94997,563642.5103,293690.3712,156,594,155,36838.31351,78,186281.4158,245243.6726,2103,302,3406.017101,15.27192982,114,1741,15551.77347,14912.69143,126.771188,1.315000037,1825.380053,17082.81441,117.634706,86,15.04900043,2,12,4,1,17,0,4,5.483870968,7.096774194
SEO,Marve1,Sigma,28.89736913,84,173,399161.076,227,83.43224608,194647.2608,16094.05432,149780.1415,1900.462569,55374,355993.7007,198209.0633,119,324,97,34672.3106,44,117722.4853,202446.969,1668,149,1628.303048,2.567567568,74,190,10677.90832,9928.437284,111.5911669,0,1647.832048,11880.47305,88.97153387,68,0,1,9,5,0,10,0,3,7.547169811,9.433962264
GLA,Hydration,Sigma,27.55355309,35,51,115663.1707,107,76.60562443,56412.35094,4686.360323,44268.51217,1078.070659,19488,119032.367,72114.00068,45,139,31,8516.729661,23,41427.76781,58549.67282,504,77,799.3950237,1.564102564,39,61,3523.389106,3447.253099,123.5705736,34.46700095,429.5770125,3965.569395,27.8970389,21,0,1,4,0,1,5,0,0,9.589041096,5.479452055
CDH,Elsa,Sigma,22.47786327,13,25,53851.82728,33,83.0932424,30111.56686,2103.534067,18999.4127,327,4664.5,54510.6556,32941.18824,25,49,16,2215.81303,5,20488.46018,23230.22287,232,30,393.4720117,5.076923077,13,66,2009.90906,2077.33106,153.6054605,8.797000242,136.328004,2245.530707,13.52380998,9,0,0,0,1,0,2,0,0,4.87804878,9.756097561
LDN,Gesture,Sigma,17.95779535,74,128,273823.5937,194,85.96803667,134887.3596,12041.25795,100731.224,641.7126741,43085.48799,330485.0098,146199.738,117,292,97,19608.00866,41,80152.31796,133022.2033,1159,135,1594.077048,13.38235294,34,455,10115.7853,10058.26029,141.5104187,51.96500146,1032.37003,11285.90245,71.07787808,48,0,5,4,1,1,5,0,11,8.854166667,8.333333333
SHD,Envy,Sigma,15.50656328,62,114,291639.2384,190,96.28998129,158799.0348,11127.77492,105161.489,801.6504021,28030.3,235175.5468,121702.468,93,268,77,14737.52899,34,74332.49513,131828.4433,1121,125,1072.878032,12.54545455,33,414,9683.721289,8954.96826,133.5594499,0,1407.860041,10556.67037,67.04855604,47,0,8,5,1,1,2,0,0,8.522727273,6.25
