Team,Player,Hero,Player Rating,Accretion Kills,Accretion Stuns,All Damage Done,Assists,Average Time Alive,Barrier Damage Done,Damage - Accretion,Damage - Hyperspheres,Damage - Quick Melee,Damage Absorbed,Damage Blocked,Damage Taken,Deaths,Eliminations,Final Blows,Gravitic Flux Damage Done,Gravitic Flux Kills,Healing Received,Hero Damage Done,Hyperspheres Direct Hits,Objective Kills,Objective Time,Offensive Assists,Quick Melee Accuracy,Quick Melee Hits,Quick Melee Ticks,Time Alive,Time Building Ultimate,Time Elapsed per Ultimate Earned,Time Hacked,Time Holding Ultimate,Time Played,Ultimates Earned - Fractional,Ultimates Used,Time Discorded,Solo Kills,Melee Final Blows,Environmental Deaths,Environmental Kills,Multikills,Ultimates Negated,Turrets Destroyed,First Death Rate %,First Kill Rate %
SFS,Coluge,Sigma,50.96162084,123,238,394341.1316,288,169.2063162,126846.3419,26435.68388,206028.0062,8653.176264,65463.59337,362132.5534,336866.3168,90,437,149,21577.8341,72,248809.0397,262694.7004,2296.5,221,3500.915108,109,0.278703704,301,1080,15228.56846,12627.82136,113.604523,385.3150107,3111.417089,16130.94408,111.1559736,91,1582.682044,4,21,0,0,10,3,2,5.597014925,8.582089552
FLA,Someone,Sigma,47.87359749,32,76,113986.8493,64,116.8754772,3684429.335,8287.975131,56465.77511,3693.283121,22016.79561,125877.2832,124007.9799,38,120,56,6306.227919,17,88880.26772,73958.55083,695.5,31,695.5300214,25,0.434210526,132,304,4441.268135,4070.446116,118.7881965,0,622.0080179,4805.037717,34.26641901,27,509.6340143,1,12,1,0,1,0,0,1.19047619,8.333333333
HZS,LIGE,Sigma,46.42205941,2,5,11274.05826,12,143.0520043,1754.885571,563.5422974,8236.106906,90,1187.462532,15764.06873,15683.35745,5,16,4,629.5234833,4,12219.68481,9519.172687,108,8,163.366005,6,0.054794521,4,73,715.2600216,663.3560189,141.4192694,0,88.67600257,769.8544099,4.69070461,4,72.73700205,0,0,0,0,1,0,0,0,N/A
ATL,Hawk,Sigma,45.80995575,79,175,298742.3923,207,120.9462095,98105.16218,19942.60611,155797.4488,6142.505569,59893.32047,362944.4631,337039.1244,102,332,125,15851.66333,40,242308.3063,197271.6939,1930,125,2308.776071,70,0.210084034,225,1071,12336.51337,11055.38331,122.5578052,88.11000237,2013.982057,13382.90067,90.20546099,71,1771.845049,2,15,1,0,4,0,0,6.787330317,5.882352941
CDH,Daizi,Sigma,45.5601505,27,51,102569.6842,41,105.3615437,39719.42036,5940.522604,46637.38765,2101.207605,15634.84738,110729.2026,88321.4985,37,78,37,7310.354454,17,57093.6503,61989.47232,551,25,722.4110223,21,0.21182266,86,406,3898.377119,3789.623109,131.0509515,29.98800084,375.1010108,4267.793862,28.91717355,24,433.5580122,2,2,0,0,2,0,0,12.32876712,9.589041096
DAL,Hanbin,Sigma,43.18675747,43,81,167090.752,117,118.3164462,55721.19536,8493.395259,87360.9667,2456.925279,34745.92009,213222.4948,196020.1498,61,204,87,11030.51746,32,137292.6809,109341.8047,1007,76,1197.631037,43,0.468926554,83,177,7217.303217,6641.335188,128.4815195,0,984.6060281,7810.036231,51.69097636,39,867.2860242,1,9,0,0,3,1,0,6.569343066,6.569343066
HZS,BERNAR,Sigma,42.63888932,52,116,199862.4589,129,148.864811,61670.76514,12985.83171,107358.6336,2865.197806,43281.72157,240048.2387,196464.9015,62,198,69,11538.59473,34,137071.0897,134748.2579,1108,61,1419.147044,50,0.123655914,115,930,9229.61828,7876.344224,127.9280022,31.80100089,1703.467049,9820.938029,61.56857051,51,925.440026,4,5,0,0,2,0,0,4.347826087,9.316770186
TOR,HOTBA,Sigma,42.50490776,37,87,127973.9123,86,93.56319956,36639.14551,9536.984519,70240.88394,3081.252221,37200.2306,181287.7844,141742.8582,61,148,62,7367.171429,26,86414.62595,90226.29211,829,53,1169.748036,33,0.343653251,111,323,5707.355173,5495.602157,122.6378008,0,633.2840182,6304.071306,44.81164961,36,902.7880254,4,8,1,0,0,0,0,7.826086957,9.565217391
SEO,smurf,Sigma,41.23758167,51,110,168749.695,117,122.7144813,41591.40095,11033.31497,99998.95032,3384.409319,28588.89745,186140.1299,181635.5838,67,182,65,9626.335396,28,126876.7277,124043.01,1222.5,60,1470.252045,41,0.326086957,120,368,8221.870247,7601.160216,126.9752111,0,1038.71903,8896.060209,59.86333984,52,923.7470257,3,6,0,0,6,0,0,10.95890411,8.219178082
GLA,SPACE,Sigma,40.88481343,27,62,121006.8728,76,131.1860325,37650.50424,7058.551332,62840.12444,1291.720377,22077.94773,148767.7959,119357.7929,35,121,45,9604.826069,17,87396.15995,80795.22222,592,52,1120.720035,25,0.563218391,49,87,4591.511138,4143.214117,116.6489697,59.97800167,659.6930187,4931.905376,35.51865162,30,474.2420132,0,3,0,0,1,0,2,7.317073171,4.87804878
